Goal, Target, Indicator, SeriesCode, SeriesDescription, GeoAreaCode, GeoAreaName, TimePeriod, Value, Time_Detail,  UpperBound, LowerBound, BasePeriod, Source, FootNote, Nature, Units,[Reporting Type]
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),4,Afghanistan,2000,54.8,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),4,Afghanistan,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),4,Afghanistan,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),4,Afghanistan,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),8,Albania,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),8,Albania,2005,7.9,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),8,Albania,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),8,Albania,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),12,Algeria,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),12,Algeria,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),12,Algeria,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),12,Algeria,2015,127.7,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),16,American Samoa,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),16,American Samoa,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),16,American Samoa,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),16,American Samoa,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),20,Andorra,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),20,Andorra,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),20,Andorra,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),20,Andorra,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),24,Angola,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),24,Angola,2005,1.9,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),24,Angola,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),24,Angola,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),28,Antigua and Barbuda,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),28,Antigua and Barbuda,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),28,Antigua and Barbuda,2010,8.5,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),28,Antigua and Barbuda,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),31,Azerbaijan,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),31,Azerbaijan,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),31,Azerbaijan,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),31,Azerbaijan,2015,56.4,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),32,Argentina,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),32,Argentina,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),32,Argentina,2010,10.5,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),32,Argentina,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),36,Australia,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),36,Australia,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),36,Australia,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),36,Australia,2015,6.2,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),40,Austria,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),40,Austria,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),40,Austria,2010,9.5,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),40,Austria,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),44,Bahamas,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),44,Bahamas,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),44,Bahamas,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),44,Bahamas,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),48,Bahrain,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),48,Bahrain,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),48,Bahrain,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),48,Bahrain,2015,132.2,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),50,Bangladesh,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),50,Bangladesh,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),50,Bangladesh,2010,5.7,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),50,Bangladesh,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),51,Armenia,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),51,Armenia,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),51,Armenia,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),51,Armenia,2015,64.2,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),52,Barbados,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),52,Barbados,2005,87.5,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
